Date,Locality,Sample,Equipment,Max.Depth,Mim.Depth,StartLat,StartLong,EndLat,EndLong,Duration
5/19/12,12,105,Basket,8.2296,8.2296,34.63148333,-76.5455166666667,34.62941667,-76.5470166666667,5
11/21/11,13,33,Van Veen Grab,4.2672,NA,34.78696667,-76.6866833333333,NA,NA,NA
11/21/11,13,34,Sled,5.4864,5.1816,34.78473333,-76.68615,34.78328333,-76.6864666666667,2
11/21/11,13,35,Basket,5.1816,3.6576,34.78208333,-76.68605,34.77966667,-76.6864166666667,2
5/18/12,13,72,Sled,5.7912,5.4864,34.8001,-76.6869333333333,34.7963,-76.68775,5
5/18/12,13,96,Basket,5.7912,5.4864,34.80071667,-76.6868833333333,34.7967,-76.6870333333333,5
6/2/11,14,5,Basket,4.2672,NA,34.75723333,-76.6722833333333,34.75768333,-76.6730333333333,NA
11/21/11,14,36,Basket,5.7912,2.65176,34.75596667,-76.6715333333333,34.75105,-76.6714833333333,5
11/21/11,14,37,Sled,5.4864,4.8768,34.7518,-76.6711333333333,34.7547,-76.67165,5
11/21/11,14,38,Van Veen Grab,5.4864,NA,34.75553333,-76.67195,NA,NA,NA
11/21/11,14,39,Van Veen Grab,5.1816,NA,34.755,-76.6716333333333,NA,NA,NA
5/18/12,14,143,Sled,6.7056,5.4864,34.76251667,-76.6760333333333,34.75931667,-76.6738166666667,5
5/18/12,14,144,Van Veen Grab,6.7056,NA,34.75791667,-76.6731,NA,NA,NA
5/18/12,14,174,Basket,6.4008,4.572,34.76318333,-76.6763833333333,34.76006667,-76.6736333333333,5
6/2/11,15,1,Basket,4.2672,NA,34.71058333,-76.7096,NA,NA,NA
6/2/11,15,2,Basket,3.9624,NA,34.71118333,-76.7082666666667,34.71106667,-76.70845,NA
11/21/11,15,40,Basket,6.096,5.1816,34.72408333,-76.6937,34.72835,-76.6932833333333,5
11/21/11,15,41,Sled,6.4008,4.8768,34.72895,-76.6925166666667,34.7253,-76.6941333333333,5
5/18/12,15,77,Sled,6.7056,5.4864,34.73361667,-76.6884666666667,34.73021667,-76.69215,5
5/18/12,15,78,Basket,6.7056,5.7912,34.73368333,-76.689,34.73086667,-76.6913,5
5/18/12,15,79,Van Veen Grab,3.3528,NA,34.72718333,-76.6941,NA,NA,NA
11/21/11,15,220,Van Veen Grab,5.7912,NA,34.72431667,-76.6934333333333,NA,NA,NA
11/21/11,16,42,Van Veen Grab,13.1064,NA,34.68235,-76.6669166666667,NA,NA,NA
11/21/11,16,43,Van Veen Grab,9.7536,NA,34.68161667,-76.6662333333333,NA,NA,NA
11/21/11,16,44,Van Veen Grab,14.9352,NA,34.68141667,-76.6676333333333,NA,NA,NA
11/21/11,16,45,Basket,16.764,14.6304,34.68008333,-76.6674166666667,34.67693333,-76.6684833333333,5
11/21/11,16,46,Sled,17.0688,15.8496,34.67621667,-76.66905,34.67975,-76.6678833333333,5
5/19/12,16,107,Van Veen Grab,9.144,NA,34.68128333,-76.6654833333333,NA,NA,NA
5/19/12,16,108,Sled,11.5824,9.144,34.68008333,-76.6652166666667,34.67621667,-76.6655333333333,5
5/19/12,16,109,Basket,10.0584,8.5344,34.68126667,-76.6647,34.67598333,-76.6647166666667,5
5/19/12,16,110,Sled,15.24,14.9352,34.67843333,-76.6690333333333,34.67535,-76.6694666666667,5
5/19/12,16,111,Basket,15.5448,14.9352,34.67541667,-76.6691333333333,34.67966667,-76.66875,5
5/19/12,16,173,Van Veen Grab,16.4592,NA,34.68141667,-76.6681833333333,NA,NA,NA
11/21/11,17,47,Van Veen Grab,6.096,NA,34.68845,-76.6864166666667,NA,NA,NA
11/21/11,17,48,Van Veen Grab,6.096,NA,34.68883333,-76.68675,NA,NA,NA
11/21/11,17,49,Van Veen Grab,5.7912,NA,34.6889,-76.68635,NA,NA,NA
11/21/11,17,50,Basket,6.7056,5.4864,34.68825,-76.68535,34.68605,-76.6859333333333,5
11/21/11,17,51,Sled,7.0104,6.4008,34.68525,-76.68785,34.68948333,-76.6903,5
11/21/11,17,52,Sled,7.62,6.7056,34.68831667,-76.6907,34.68506667,-76.69155,5
11/21/11,18,53,Van Veen Grab,6.7056,NA,34.6914,-76.7089,NA,NA,NA
11/21/11,18,54,Van Veen Grab,5.4864,NA,34.69206667,-76.70835,NA,NA,NA
11/21/11,18,55,Basket,10.668,7.0104,34.69141667,-76.70865,34.68493333,-76.7095,10
11/21/11,18,56,Sled,10.3632,5.4864,34.68596667,-76.70905,34.69286667,-76.7131,10
5/20/12,18,140,Sled,6.096,5.7912,34.692,-76.7116166666667,34.69163333,-76.7138333333333,5
5/20/12,18,141,Van Veen Grab,6.096,NA,34.6921,-76.7127,NA,NA,NA
5/20/12,18,142,Sled,10.3632,8.5344,34.69083333,-76.7173166666667,34.68818333,-76.7196333333333,5
11/21/11,18,239,Van Veen Grab,7.3152,NA,34.691,-76.7092333333333,NA,NA,NA
11/21/11,19,57,Van Veen Grab,6.4008,NA,34.67498333,-76.6444166666667,NA,NA,NA
11/21/11,19,58,Basket,17.3736,16.1544,34.64496667,-76.6519666666667,34.6383,-76.6532166666667,5
11/21/11,19,59,Van Veen Grab,17.3736,NA,34.6376,-76.6525166666667,NA,NA,NA
11/21/11,19,60,Basket,17.3736,16.1544,34.64015,-76.6484833333333,34.64628333,-76.6450333333333,5
5/19/12,19,106,Sled,8.8392,7.3152,34.67381667,-76.6448333333333,34.67035,-76.64705,5
5/19/12,19,229,Van Veen Grab,5.4864,NA,34.6753,-76.6442,NA,NA,NA
11/22/11,20,61,Van Veen Grab,14.9352,NA,34.65046667,-76.6343833333333,NA,NA,NA
11/22/11,20,62,Van Veen Grab,14.6304,NA,34.65021667,-76.6347666666667,NA,NA,NA
11/22/11,20,63,Basket,15.5448,14.6304,34.64901667,-76.6361166666667,34.6424,-76.6372166666667,10
11/22/11,20,64,Sled,15.5448,14.6304,34.64363333,-76.6368,34.65048333,-76.63305,10
6/2/11,21,3,Basket,8.8392,NA,34.69145,-76.63795,34.69185,-76.6372666666667,NA
6/2/11,21,4,Basket,8.5344,NA,34.69148333,-76.6393833333333,34.69196667,-76.6389166666667,NA
